subject,block,trial,task,regret,mb_dist
12,4,53,1,8.0,5.0
12,4,54,2,10.0,5.0
12,4,55,3,2.0,2.0
12,4,56,0,10.0,4.0
12,4,57,1,4.0,5.0
12,4,58,2,8.0,5.0
12,4,59,3,2.0,2.0
12,4,60,0,12.0,4.0
12,4,61,1,4.0,5.0
12,4,62,2,8.0,5.0
12,4,63,3,2.0,2.0
12,4,64,0,18.0,4.0
12,4,65,1,6.0,5.0
12,4,66,2,4.0,5.0
12,4,67,3,2.0,2.0
12,4,68,0,10.0,4.0
12,4,69,1,32.0,5.0
12,4,70,2,4.0,5.0
12,4,71,3,2.0,2.0
12,4,72,0,16.0,4.0
12,4,73,1,6.0,5.0
12,4,74,2,16.0,5.0
12,4,75,3,2.0,2.0
12,4,76,0,10.0,4.0
12,4,77,1,12.0,5.0
12,4,78,2,10.0,5.0
12,4,79,3,2.0,2.0
12,4,80,0,20.0,4.0
12,4,81,1,4.0,5.0
12,4,82,2,8.0,5.0
12,4,83,3,2.0,2.0
12,4,84,0,10.0,4.0
12,4,85,1,12.0,5.0
12,4,86,2,12.0,5.0
12,4,87,3,2.0,2.0
12,4,88,0,10.0,4.0
12,4,89,1,10.0,5.0
12,4,90,2,16.0,5.0
12,4,91,3,2.0,2.0
12,4,92,0,10.0,4.0
12,4,93,1,12.0,5.0
12,4,94,2,2.0,5.0
12,4,95,3,2.0,2.0
12,4,96,0,6.0,4.0
12,4,97,1,14.0,5.0
12,4,98,2,32.0,5.0
12,4,99,3,4.0,2.0
13,0,0,0,2.0,2.0
13,0,1,1,6.0,4.0
13,0,2,2,20.0,4.0
13,0,3,3,2.0,3.0
13,0,4,0,2.0,2.0
13,0,5,1,92.0,4.0
13,0,6,2,8.0,4.0
13,0,7,3,10.0,3.0
13,0,8,0,8.0,2.0
13,0,9,1,4.0,4.0
13,0,10,2,12.0,4.0
13,0,11,3,4.0,3.0
13,0,12,0,2.0,2.0
13,0,13,1,72.0,4.0
13,0,14,2,10.0,4.0
13,0,15,3,14.0,3.0
13,0,16,0,2.0,2.0
13,0,17,1,2.0,4.0
13,0,18,2,4.0,4.0
13,0,19,3,6.0,3.0
13,0,20,0,2.0,2.0
13,0,21,1,440.0,4.0
13,0,22,2,6.0,4.0
13,0,23,3,16.0,3.0
13,0,24,0,2.0,2.0
13,0,25,1,218.0,4.0
13,0,26,2,2.0,4.0
13,0,27,3,16.0,3.0
13,0,28,0,2.0,2.0
13,0,29,1,28.0,4.0
13,0,30,2,4.0,4.0
13,0,31,3,22.0,3.0
13,0,32,0,2.0,2.0
13,0,33,1,46.0,4.0
13,0,34,2,6.0,4.0
13,0,35,3,26.0,3.0
13,0,36,0,2.0,2.0
13,0,37,1,16.0,4.0
13,0,38,2,16.0,4.0
13,0,39,3,10.0,3.0
13,0,40,0,4.0,2.0
13,0,41,1,80.0,4.0
13,0,42,2,2.0,4.0
13,0,43,3,14.0,3.0
13,0,44,0,2.0,2.0
13,0,45,1,46.0,4.0
13,0,46,2,6.0,4.0
13,0,47,3,6.0,3.0
13,0,48,0,2.0,2.0
13,0,49,1,50.0,4.0
13,0,50,2,2.0,4.0
13,0,51,3,6.0,3.0
13,0,52,0,2.0,2.0
13,0,53,1,78.0,4.0
13,0,54,2,4.0,4.0
13,0,55,3,6.0,3.0
13,0,56,0,2.0,2.0
13,0,57,1,60.0,4.0
13,0,58,2,6.0,4.0
13,0,59,3,10.0,3.0
13,0,60,0,2.0,2.0
13,0,61,1,20.0,4.0
13,0,62,2,2.0,4.0
13,0,63,3,6.0,3.0
13,0,64,0,2.0,2.0
13,0,65,1,66.0,4.0
13,0,66,2,4.0,4.0
13,0,67,3,16.0,3.0
13,0,68,0,2.0,2.0
13,0,69,1,50.0,4.0
13,0,70,2,2.0,4.0
13,0,71,3,6.0,3.0
13,0,72,0,2.0,2.0
13,0,73,1,74.0,4.0
13,0,74,2,2.0,4.0
13,0,75,3,16.0,3.0
13,0,76,0,2.0,2.0
13,0,77,1,22.0,4.0
13,0,78,2,2.0,4.0
13,0,79,3,8.0,3.0
13,0,80,0,2.0,2.0
13,0,81,1,56.0,4.0
13,0,82,2,4.0,4.0
13,0,83,3,8.0,3.0
13,0,84,0,2.0,2.0
13,0,85,1,22.0,4.0
13,0,86,2,2.0,4.0
13,0,87,3,8.0,3.0
13,0,88,0,2.0,2.0
13,0,89,1,48.0,4.0
13,0,90,2,4.0,4.0
13,0,91,3,8.0,3.0
13,0,92,0,2.0,2.0
13,0,93,1,46.0,4.0
13,0,94,2,2.0,4.0
13,0,95,3,10.0,3.0
13,0,96,0,2.0,2.0
13,0,97,1,80.0,4.0
13,0,98,2,2.0,4.0
13,0,99,3,4.0,3.0
13,1,0,0,50.0,5.0
13,1,1,1,2.0,0.0
13,1,2,2,86.0,3.0
13,1,3,3,22.0,2.0
13,1,4,0,28.0,5.0
13,1,5,1,6.0,0.0
13,1,6,2,6.0,3.0
13,1,7,3,14.0,2.0
13,1,8,0,28.0,5.0
13,1,9,1,6.0,0.0
13,1,10,2,4.0,3.0
13,1,11,3,6.0,2.0
13,1,12,0,50.0,5.0
13,1,13,1,2.0,0.0
13,1,14,2,2.0,3.0
13,1,15,3,10.0,2.0
13,1,16,0,38.0,5.0
13,1,17,1,8.0,0.0
13,1,18,2,12.0,3.0
13,1,19,3,8.0,2.0
13,1,20,0,12.0,5.0
13,1,21,1,18.0,0.0
13,1,22,2,12.0,3.0
13,1,23,3,30.0,2.0
13,1,24,0,46.0,5.0
13,1,25,1,4.0,0.0
13,1,26,2,40.0,3.0
13,1,27,3,6.0,2.0
13,1,28,0,34.0,5.0
13,1,29,1,20.0,0.0
13,1,30,2,442.0,3.0
13,1,31,3,20.0,2.0
13,1,32,0,62.0,5.0
13,1,33,1,4.0,0.0
13,1,34,2,48.0,3.0
13,1,35,3,6.0,2.0
13,1,36,0,12.0,5.0
13,1,37,1,4.0,0.0
13,1,38,2,24.0,3.0
13,1,39,3,6.0,2.0
13,1,40,0,4.0,5.0
13,1,41,1,4.0,0.0
13,1,42,2,68.0,3.0
13,1,43,3,8.0,2.0
13,1,44,0,8.0,5.0
13,1,45,1,4.0,0.0
13,1,46,2,18.0,3.0
13,1,47,3,4.0,2.0
13,1,48,0,28.0,5.0
13,1,49,1,4.0,0.0
13,1,50,2,50.0,3.0
13,1,51,3,6.0,2.0
13,1,52,0,8.0,5.0
13,1,53,1,4.0,0.0
13,1,54,2,12.0,3.0
13,1,55,3,6.0,2.0
13,1,56,0,20.0,5.0
13,1,57,1,2.0,0.0
13,1,58,2,10.0,3.0
13,1,59,3,4.0,2.0
13,1,60,0,6.0,5.0
13,1,61,1,4.0,0.0
13,1,62,2,26.0,3.0
13,1,63,3,8.0,2.0
13,1,64,0,54.0,5.0
13,1,65,1,4.0,0.0
13,1,66,2,8.0,3.0
13,1,67,3,6.0,2.0
13,1,68,0,6.0,5.0
13,1,69,1,4.0,0.0
13,1,70,2,18.0,3.0
13,1,71,3,10.0,2.0
13,1,72,0,130.0,5.0
13,1,73,1,4.0,0.0
13,1,74,2,2.0,3.0
13,1,75,3,4.0,2.0
13,1,76,0,10.0,5.0
13,1,77,1,4.0,0.0
13,1,78,2,8.0,3.0
13,1,79,3,34.0,2.0
13,1,80,0,4.0,5.0
13,1,81,1,2.0,0.0
13,1,82,2,12.0,3.0
13,1,83,3,6.0,2.0
13,1,84,0,54.0,5.0
13,1,85,1,2.0,0.0
13,1,86,2,20.0,3.0
13,1,87,3,12.0,2.0
13,1,88,0,26.0,5.0
13,1,89,1,2.0,0.0
13,1,90,2,18.0,3.0
13,1,91,3,14.0,2.0
13,1,92,0,44.0,5.0
13,1,93,1,2.0,0.0
13,1,94,2,8.0,3.0
13,1,95,3,6.0,2.0
13,1,96,0,22.0,5.0
13,1,97,1,2.0,0.0
13,1,98,2,10.0,3.0
13,1,99,3,4.0,2.0
13,2,0,0,54.0,6.0
13,2,1,1,98.0,2.0
13,2,2,2,2.0,0.0
13,2,3,3,36.0,3.0
13,2,4,0,16.0,6.0
13,2,5,1,12.0,2.0
13,2,6,2,4.0,0.0
13,2,7,3,18.0,3.0
13,2,8,0,50.0,6.0
13,2,9,1,48.0,2.0
13,2,10,2,4.0,0.0
13,2,11,3,6.0,3.0
13,2,12,0,16.0,6.0
13,2,13,1,64.0,2.0
13,2,14,2,4.0,0.0
13,2,15,3,6.0,3.0
13,2,16,0,42.0,6.0
13,2,17,1,46.0,2.0
13,2,18,2,4.0,0.0
13,2,19,3,14.0,3.0
13,2,20,0,8.0,6.0
13,2,21,1,28.0,2.0
13,2,22,2,4.0,0.0
13,2,23,3,8.0,3.0
13,2,24,0,38.0,6.0
13,2,25,1,8.0,2.0
13,2,26,2,2.0,0.0
13,2,27,3,36.0,3.0
13,2,28,0,2.0,6.0
13,2,29,1,8.0,2.0
13,2,30,2,924.0,0.0
13,2,31,3,10.0,3.0
13,2,32,0,2.0,6.0
13,2,33,1,8.0,2.0
13,2,34,2,2.0,0.0
13,2,35,3,8.0,3.0
13,2,36,0,10.0,6.0
13,2,37,1,4.0,2.0
13,2,38,2,2.0,0.0
13,2,39,3,24.0,3.0
13,2,40,0,2.0,6.0
13,2,41,1,24.0,2.0
13,2,42,2,6.0,0.0
13,2,43,3,22.0,3.0
13,2,44,0,4.0,6.0
13,2,45,1,4.0,2.0
13,2,46,2,140.0,0.0
13,2,47,3,16.0,3.0
13,2,48,0,2.0,6.0
13,2,49,1,4.0,2.0
13,2,50,2,2.0,0.0
13,2,51,3,36.0,3.0
13,2,52,0,22.0,6.0
13,2,53,1,4.0,2.0
13,2,54,2,2.0,0.0
13,2,55,3,30.0,3.0
13,2,56,0,2.0,6.0
13,2,57,1,20.0,2.0
13,2,58,2,4.0,0.0
13,2,59,3,10.0,3.0
13,2,60,0,8.0,6.0
13,2,61,1,14.0,2.0
