,subject,block,trial,task,algo,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,mean_block_regret,mean_block_correct
8,0,8,9,1,uvfa,7,3.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.46,0.88
9,0,9,0,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,1,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,2,0,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,3,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,4,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,5,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,6,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,7,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,8,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
9,0,9,9,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.9,0.87
10,0,10,0,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,0.55,0.49
10,0,10,1,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,6.0,0.55,0.49
10,0,10,2,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,0.55,0.49
10,0,10,3,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,6.0,0.55,0.49
10,0,10,4,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,0.55,0.49
10,0,10,5,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,6.0,0.55,0.49
10,0,10,6,0,uvfa,4,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,0.55,0.49
10,0,10,7,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,6.0,0.55,0.49
10,0,10,8,0,uvfa,4,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,0.55,0.49
10,0,10,9,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,6.0,0.55,0.49
11,0,11,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,3,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,5,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,8,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
11,0,11,9,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
12,0,12,0,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
12,0,12,1,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
12,0,12,2,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
12,0,12,3,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
12,0,12,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
12,0,12,5,1,uvfa,8,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
12,0,12,6,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
