,subject,block,trial,task,algo,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,mean_block_regret,mean_block_correct
20,0,20,7,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,8,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
20,0,20,9,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,0,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,1,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,2,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,3,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,4,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,5,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,6,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
21,0,21,7,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,6.0,0.0,1.0
