subject,block,trial,trialblock,task,reward,regret,sf_path,mb_paths,mf_paths,mf_sim,mb_sim,p0_sim,p1_sim,p01_sim,sf_comp
0,1,5,55,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,5,55,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,6,56,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,6,56,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,7,57,1,7,0,7,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,7,57,1,7,1,7,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,8,58,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,8,58,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,9,59,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,9,59,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,10,60,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,10,60,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,11,61,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,11,61,1,8,0,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
0,1,12,62,0,6,1,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,12,62,0,6,2,4,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,13,63,1,5,2,3,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,13,63,1,5,3,3,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],1,1,3,3,3.0,True
0,1,14,64,0,7,0,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,14,64,0,7,1,2,[0 0 1 0 0 0 0 0],[1 1 1 1 1 1 1 1],2,2,3,3,3.0,True
0,1,15,65,1,8,-1,6,[0 0 0 0 0 0 1 0],[1 1 1 1 1 1 1 1],0,0,3,3,3.0,True
